artifact_label,study_id,condition,metric,pairs,r0_mean,r1_mean,paired_difference,difference_definition,bootstrap_lower,bootstrap_upper
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,inter_cycle_dwell_s_per_move,30,19.991601,5.578887,14.412714,R0_REACTIVE minus R1_ZERO_WAIT; positive means lower R1 synthetic dwell,14.334376,14.492008
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,completion_time_s,30,18000.268311,16284.652384,1715.615927,R0_REACTIVE minus R1_ZERO_WAIT; positive means shorter R1 synthetic completion,1706.202465,1725.112625
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,effective_moves_per_hour,30,24.001644,26.529629,2.527985,R1_ZERO_WAIT minus R0_REACTIVE; positive means higher R1 synthetic rate,2.514067,2.541917
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,staged_vehicle_holding_s,30,0.0,1494.260452,-1494.260452,"R0_REACTIVE minus R1_ZERO_WAIT; R1-only staged-vehicle holding, reported descriptively",-1518.953781,-1470.188388
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,stage_misses,30,0.0,1.966667,1.966667,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic staging misses,1.466667,2.5
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,fallbacks,30,0.0,1.966667,1.966667,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic reactive fallbacks,1.466667,2.5
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,nominal,blocked_task_recoveries,30,0.0,0.0,0.0,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic horizon recoveries,0.0,0.0
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,inter_cycle_dwell_s_per_move,30,20.011335,5.637453,14.373882,R0_REACTIVE minus R1_ZERO_WAIT; positive means lower R1 synthetic dwell,14.294191,14.445628
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,completion_time_s,30,18027.749969,16319.764574,1707.985395,R0_REACTIVE minus R1_ZERO_WAIT; positive means shorter R1 synthetic completion,1697.170426,1718.106852
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,effective_moves_per_hour,30,23.992022,26.510448,2.518427,R1_ZERO_WAIT minus R0_REACTIVE; positive means higher R1 synthetic rate,2.503131,2.534066
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,staged_vehicle_holding_s,30,0.0,1496.892334,-1496.892334,"R0_REACTIVE minus R1_ZERO_WAIT; R1-only staged-vehicle holding, reported descriptively",-1523.4279,-1469.464323
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,stage_misses,30,0.0,2.166667,2.166667,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic staging misses,1.633333,2.733333
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,fallbacks,30,0.0,2.166667,2.166667,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic reactive fallbacks,1.633333,2.733333
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,congestion,blocked_task_recoveries,30,0.0,0.0,0.0,R1_ZERO_WAIT minus R0_REACTIVE; count of synthetic horizon recoveries,0.0,0.0
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,disruption,inter_cycle_dwell_s_per_move,30,35.340178,16.141603,19.198575,R0_REACTIVE minus R1_ZERO_WAIT; positive means lower R1 synthetic dwell,18.382976,20.008976
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,disruption,completion_time_s,30,19843.309994,17560.930841,2282.379153,R0_REACTIVE minus R1_ZERO_WAIT; positive means shorter R1 synthetic completion,2184.451785,2379.552859
SYNTHETIC_OFFLINE_NOT_CHESSCON,ZERO_WAIT_DES_V2_SYNTHETIC_2026_08_13,disruption,effective_moves_per_hour,30,21.799402,24.638939,2.839537,R1_ZERO_WAIT minus R0_REACTIVE; positive means higher R1 synthetic rate,2.718167,2.961848
